# gathered 2026-09-04T10:45:39.919826+00:00
table|index|definition|scans|tup_read|bytes
behavior_events_y2027m06|behavior_events_y2027m06_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m06_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m06 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m06|behavior_events_y2027m06_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m06_detector_detected_at_idx ON public.behavior_events_y2027m06 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m06|behavior_events_y2027m06_id_idx|CREATE INDEX behavior_events_y2027m06_id_idx ON public.behavior_events_y2027m06 USING btree (id)|0|0|8192
behavior_events_y2027m07|behavior_events_y2027m07_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m07_broker_account_id_detected_at_idx ON public.behavior_events_y2027m07 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m07|behavior_events_y2027m07_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m07_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m07 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m07|behavior_events_y2027m07_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m07_detector_detected_at_idx ON public.behavior_events_y2027m07 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m07|behavior_events_y2027m07_id_idx|CREATE INDEX behavior_events_y2027m07_id_idx ON public.behavior_events_y2027m07 USING btree (id)|0|0|8192
behavior_events_y2027m08|behavior_events_y2027m08_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m08_broker_account_id_detected_at_idx ON public.behavior_events_y2027m08 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m08|behavior_events_y2027m08_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m08_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m08 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m08|behavior_events_y2027m08_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m08_detector_detected_at_idx ON public.behavior_events_y2027m08 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m08|behavior_events_y2027m08_id_idx|CREATE INDEX behavior_events_y2027m08_id_idx ON public.behavior_events_y2027m08 USING btree (id)|0|0|8192
behavior_events_y2027m09|behavior_events_y2027m09_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m09_broker_account_id_detected_at_idx ON public.behavior_events_y2027m09 USING btree (broker_account_id, detected_at)|13600|0|8192
